,Column,Feature,Importance Score
253,Column_253, hinte,1
254,Column_254, hinten,18
255,Column_255, hinten ,5
256,Column_256, hk,7
257,Column_257, hkl,11
258,Column_258, hkl ,8
259,Column_259, ho,0
260,Column_260, hoc,7
261,Column_261, hoch,0
262,Column_262, hs,3
263,Column_263, hsk,0
264,Column_264, hu,0
265,Column_265, hud,1
266,Column_266, hy,4
267,Column_267, ic,0
268,Column_268, ice,0
269,Column_269, in,0
270,Column_270, inn,0
271,Column_271, inne,0
272,Column_272, innen,0
273,Column_273, innen ,0
274,Column_274, innen h,0
275,Column_275, innen v,0
276,Column_276, is,35
277,Column_277, iso,0
278,Column_278, isof,0
279,Column_279, isofi,0
280,Column_280, isofix,0
281,Column_281, it,0
282,Column_282, ita,0
283,Column_283, itaf,0
284,Column_284, itafe,0
285,Column_285, itafel,0
286,Column_286, itafel ,1
287,Column_287, jp,0
288,Column_288, ka,1
289,Column_289, kar,0
290,Column_290, kart,0
291,Column_291, karte,0
292,Column_292, karten,0
293,Column_293, kartent,0
294,Column_294, kb,0
295,Column_295, ki,0
296,Column_296, kis,0
297,Column_297, kl,0
298,Column_298, ko,0
299,Column_299, kon,0
300,Column_300, kons,0
301,Column_301, konso,0
302,Column_302, konsol,0
303,Column_303, konsole,0
304,Column_304, kont,0
305,Column_305, kontu,0
306,Column_306, kontur,0
307,Column_307, ku,0
308,Column_308, kun,0
309,Column_309, kuns,0
310,Column_310, kunst,0
311,Column_311, kunsts,0
312,Column_312, kunstst,0
313,Column_313, la,11
314,Column_314, lad,65
315,Column_315, lade,20
316,Column_316, lae,0
317,Column_317, laen,0
318,Column_318, laeng,0
319,Column_319, laengs,0
320,Column_320, laengst,0
321,Column_321, lc,0
322,Column_322, lci,1
323,Column_323, lci ,2
324,Column_324, le,1
325,Column_325, le ,0
326,Column_326, led,0
327,Column_327, lede,8
328,Column_328, leder,5
329,Column_329, leh,0
330,Column_330, lehn,0
331,Column_331, lehne,0
332,Column_332, lehne ,0
333,Column_333, len,0
334,Column_334, lenk,0
335,Column_335, lenks,0
336,Column_336, lenksa,0
337,Column_337, lenksae,0
338,Column_338, li,0
339,Column_339, lic,0
340,Column_340, lich,0
341,Column_341, licht,0
342,Column_342, lin,0
343,Column_343, link,0
344,Column_344, links,0
345,Column_345, lo,1
346,Column_346, ls,0
347,Column_347, lt,8
348,Column_348, lu,1
349,Column_349, lw,0
350,Column_350, lwl,0
351,Column_351, lwl ,0
352,Column_352, ma,1
353,Column_353, mal,0
354,Column_354, mal ,0
355,Column_355, man,12
356,Column_356, manu,0
357,Column_357, manue,0
358,Column_358, manuel,0
359,Column_359, manuell,0
360,Column_360, mat,0
361,Column_361, matt,1
362,Column_362, me,0
363,Column_363, mem,0
364,Column_364, mf,0
365,Column_365, mfs,0
366,Column_366, mfs ,0
367,Column_367, mi,23
368,Column_368, mik,2
369,Column_369, miko,0
370,Column_370, miko ,0
371,Column_371, miko h,0
372,Column_372, mit,0
373,Column_373, mit ,0
374,Column_374, mitt,3
375,Column_375, mitte,2
376,Column_376, mitte ,0
377,Column_377, mittel,0
378,Column_378, mo,1
379,Column_379, mot,0
380,Column_380, moto,0
381,Column_381, motor,0
382,Column_382, motort,0
383,Column_383, motortr,0
384,Column_384, ms,0
385,Column_385, msp,0
386,Column_386, mt,0
387,Column_387, mtt,0
388,Column_388, mtt ,0
389,Column_389, na,0
390,Column_390, nae,0
391,Column_391, naeh,0
392,Column_392, naeht,0
393,Column_393, naehte,0
394,Column_394, nd,3
395,Column_395, ob,4
396,Column_396, obe,5
397,Column_397, oben,17
398,Column_398, oben ,5
399,Column_399, ober,0
400,Column_400, obert,0
401,Column_401, oberte,0
402,Column_402, obertei,0
403,Column_403, oh,0
404,Column_404, ohn,0
405,Column_405, ohne,0
406,Column_406, ohne ,0
407,Column_407, pa,24
408,Column_408, par,1
409,Column_409, part,0
410,Column_410, ph,0
411,Column_411, phe,0
412,Column_412, phev,0
413,Column_413, qu,0
414,Column_414, que,0
415,Column_415, quer,0
416,Column_416, quert,0
417,Column_417, quertr,0
418,Column_418, quertra,0
419,Column_419, ra,7
420,Column_420, ra ,0
421,Column_421, rad,0
422,Column_422, radh,0
423,Column_423, radha,0
424,Column_424, radhau,0
425,Column_425, radhaus,0
426,Column_426, rd,0
427,Column_427, re,0
428,Column_428, rec,0
429,Column_429, rech,0
430,Column_430, recht,0
431,Column_431, rechts,0
432,Column_432, rl,0
433,Column_433, rl ,0
434,Column_434, ro,7
435,Column_435, roh,8
436,Column_436, ru,0
437,Column_437, rue,0
438,Column_438, ruec,0
439,Column_439, rueck,0
440,Column_440, sa,1
441,Column_441, sae,0
442,Column_442, saeu,27
443,Column_443, saeul,3
444,Column_444, saeule,3
445,Column_445, saeule ,0
446,Column_446, sc,0
447,Column_447, sch,0
448,Column_448, scha,0
449,Column_449, schal,0
450,Column_450, schar,0
451,Column_451, scharn,0
452,Column_452, scharni,0
453,Column_453, schl,0
454,Column_454, schli,0
455,Column_455, schlie,0
456,Column_456, schlies,0
457,Column_457, schlo,0
458,Column_458, schlos,0
459,Column_459, schloss,0
460,Column_460, schu,0
461,Column_461, schub,0
462,Column_462, schw,0
463,Column_463, schwa,0
464,Column_464, schwar,12
465,Column_465, schwarz,1
466,Column_466, schwe,0
467,Column_467, schwel,0
468,Column_468, schwell,0
469,Column_469, se,0
470,Column_470, sei,0
471,Column_471, seit,0
472,Column_472, seite,0
473,Column_473, seiten,1
474,Column_474, seitenr,0
475,Column_475, seitenw,0
476,Column_476, seitl,0
477,Column_477, seitli,0
478,Column_478, seitlic,0
479,Column_479, sh,0
480,Column_480, si,1
481,Column_481, si ,0
482,Column_482, si v,0
483,Column_483, si vo,0
484,Column_484, si vo ,0
485,Column_485, sit,0
486,Column_486, sitz,0
487,Column_487, sitz ,0
488,Column_488, sitz h,0
489,Column_489, sitz hi,0
490,Column_490, sitz v,0
491,Column_491, sitz vo,0
492,Column_492, sitzq,0
493,Column_493, sitzqu,0
494,Column_494, sitzque,0
495,Column_495, sp,3
496,Column_496, spi,0
497,Column_497, spie,0
498,Column_498, spieg,0
499,Column_499, spiege,0
500,Column_500, spiegel,0
501,Column_501, spo,1
502,Column_502, spor,0
503,Column_503, sport,0
504,Column_504, sport ,0
505,Column_505, sr,0
506,Column_506, sr ,0
507,Column_507, st,26
508,Column_508, sta,3
509,Column_509, ste,0
510,Column_510, stf,4
511,Column_511, stf ,2
512,Column_512, stf h,10
513,Column_513, stf hi,2
514,Column_514, stf hin,6
515,Column_515, sti,0
516,Column_516, stir,0
517,Column_517, stirn,0
518,Column_518, stirnw,0
