,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,depth,colsample_bylevel,min_data_in_leaf,test f1_score,early stopping (iterations)
57,model_9918,0.9999813895781637,0.009917804210401823,0.9918889169814308,0.01814186074369488,0.9945872801082544,0.9527049287087901,,132,0.1,4,0.7,20,0.9687318192876861,50
58,model_9918,0.9999813895781637,0.009917804210401823,0.9918889169814308,0.01814186074369488,0.9945872801082544,0.9527049287087901,,140,0.1,4,0.7,30,0.9687318192876861,50
59,model_9918,0.9999813895781637,0.009917804210401823,0.9918889169814308,0.01814186074369488,0.9945872801082544,0.9527049287087901,,135,0.1,4,0.7,40,0.9687318192876861,50
60,model_9932,0.9999997073833045,0.0043786344093653395,0.9932577899341868,0.01468212224498694,0.996617050067659,0.9742876625217398,,161,0.1,4,0.9,20,0.9808649855128002,50
61,model_9932,0.9999997073833045,0.0043786344093653395,0.9932577899341868,0.01468212224498694,0.996617050067659,0.9742876625217398,,159,0.1,4,0.9,30,0.9808649855128002,50
62,model_9932,0.9999997073833045,0.0043786344093653395,0.9932577899341868,0.01468212224498694,0.996617050067659,0.9742876625217398,,159,0.1,4,0.9,40,0.9808649855128002,50
63,model_9911,0.9999833208483543,0.010791283657181823,0.9911559570235186,0.018029555465800796,0.9949255751014885,0.9528824224965076,,129,0.1,6,0.5,20,0.9705815029707109,50
64,model_9911,0.9999833208483543,0.010791283657181823,0.9911559570235186,0.018029555465800796,0.9949255751014885,0.9528824224965076,,128,0.1,6,0.5,30,0.9705815029707109,50
65,model_9911,0.9999833208483543,0.010791283657181823,0.9911559570235186,0.018029555465800796,0.9949255751014885,0.9528824224965076,,129,0.1,6,0.5,40,0.9705815029707109,50
66,model_9912,0.9998333255302214,0.014867145926243525,0.991281096528528,0.021690697232729702,0.9945872801082544,0.9492853001943493,,124,0.1,6,0.7,20,0.9685078796885944,50
67,model_9912,0.9998333255302214,0.014867145926243525,0.991281096528528,0.021690697232729702,0.9945872801082544,0.9492853001943493,,124,0.1,6,0.7,30,0.9685078796885944,50
68,model_9912,0.9998333255302214,0.014867145926243525,0.991281096528528,0.021690697232729702,0.9945872801082544,0.9492853001943493,,127,0.1,6,0.7,40,0.9685078796885944,50
69,model_9927,0.999999473289948,0.005474991530727461,0.9927776628537426,0.015377623446458996,0.9952638700947226,0.9598991733131067,,144,0.1,6,0.9,20,0.9728333792849923,50
70,model_9927,0.999999473289948,0.005474991530727461,0.9927776628537426,0.015377623446458996,0.9952638700947226,0.9598991733131067,,146,0.1,6,0.9,30,0.9728333792849923,50
71,model_9927,0.999999473289948,0.005474991530727461,0.9927776628537426,0.015377623446458996,0.9952638700947226,0.9598991733131067,,145,0.1,6,0.9,40,0.9728333792849923,50
72,model_9937,0.9999988880565569,0.007162226848495102,0.9937302554122835,0.016226027570941378,0.9956021650879567,0.9600766671008242,,148,0.1,9,0.5,20,0.9746845616538437,50
73,model_9937,0.9999988880565569,0.007162226848495102,0.9937302554122835,0.016226027570941378,0.9956021650879567,0.9600766671008242,,152,0.1,9,0.5,30,0.9746845616538437,50
74,model_9937,0.9999988880565569,0.007162226848495102,0.9937302554122835,0.016226027570941378,0.9956021650879567,0.9600766671008242,,148,0.1,9,0.5,40,0.9746845616538437,50
75,model_9960,0.9999999414766609,0.001585662616325394,0.9960057513094955,0.012568022920253167,0.996617050067659,0.970868034007299,,212,0.1,9,0.7,20,0.9807311222361285,50
76,model_9960,0.9999999414766609,0.001585662616325394,0.9960057513094955,0.012568022920253167,0.996617050067659,0.970868034007299,,256,0.1,9,0.7,30,0.9807311222361285,50
77,model_9960,0.9999999414766609,0.001585662616325394,0.9960057513094955,0.012568022920253167,0.996617050067659,0.970868034007299,,213,0.1,9,0.7,40,0.9807311222361285,50
78,model_9951,0.9999999414766609,0.003182174814460339,0.995165528918718,0.013434376850203376,0.996617050067659,0.970868034007299,,183,0.1,9,0.9,20,0.9807311222361285,50
79,model_9951,0.9999999414766609,0.003182174814460339,0.995165528918718,0.013434376850203376,0.996617050067659,0.970868034007299,,175,0.1,9,0.9,30,0.9807311222361285,50
80,model_9951,0.9999999414766609,0.003182174814460339,0.995165528918718,0.013434376850203376,0.996617050067659,0.970868034007299,,176,0.1,9,0.9,40,0.9807311222361285,50
