,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,depth,colsample_bylevel,min_data_in_leaf,test f1_score,early stopping (iterations)
57,model_9999,0.9999997917861441,0.01211397778456158,0.9999968960997981,0.024039429369378206,0.9945872801082544,0.8979690407805425,,376,0.1,4,0.7,20,0.9205653592013204,50
58,model_9999,0.9999997917861441,0.01211397778456158,0.9999968960997981,0.024039429369378206,0.9945872801082544,0.8979690407805425,,379,0.1,4,0.7,30,0.9205653592013204,50
59,model_9999,0.9999997917861441,0.01211397778456158,0.9999968960997981,0.024039429369378206,0.9945872801082544,0.8979690407805425,,374,0.1,4,0.7,40,0.9205653592013204,50
60,model_9999,0.9999997021354144,0.013570529208294404,0.9999946550166199,0.024262055327504257,0.9942489851150202,0.8929185357300374,,354,0.1,4,0.9,20,0.9164124722198377,50
61,model_9999,0.9999997021354144,0.013570529208294404,0.9999946550166199,0.024262055327504257,0.9942489851150202,0.8929185357300374,,355,0.1,4,0.9,30,0.9164124722198377,50
62,model_9999,0.9999997021354144,0.013570529208294404,0.9999946550166199,0.024262055327504257,0.9942489851150202,0.8929185357300374,,355,0.1,4,0.9,40,0.9164124722198377,50
63,model_9999,0.9999993901054649,0.01526427268876749,0.9999949127411853,0.026845658111806406,0.9935723951285521,0.8807973236088252,,782,0.1,6,0.5,20,0.9096677691367957,50
64,model_9999,0.9999993901054649,0.01526427268876749,0.9999949127411853,0.026845658111806406,0.9935723951285521,0.8807973236088252,,778,0.1,6,0.5,30,0.9096677691367957,50
65,model_9999,0.9999993901054649,0.01526427268876749,0.9999949127411853,0.026845658111806406,0.9935723951285521,0.8807973236088252,,784,0.1,6,0.5,40,0.9096677691367957,50
66,model_9999,0.9999995738970497,0.013853198064337414,0.9999900944123521,0.026165320354381797,0.9939106901217862,0.8868579296694312,,826,0.1,6,0.7,20,0.9130401197315695,50
67,model_9999,0.9999995738970497,0.013853198064337414,0.9999900944123521,0.026165320354381797,0.9939106901217862,0.8868579296694312,,825,0.1,6,0.7,30,0.9130401197315695,50
68,model_9999,0.9999995738970497,0.013853198064337414,0.9999900944123521,0.026165320354381797,0.9939106901217862,0.8868579296694312,,824,0.1,6,0.7,40,0.9130401197315695,50
69,model_9999,0.9999997390752493,0.012312910467201536,0.9999945317570451,0.023836583909590398,0.9935723951285521,0.8792821720936737,,919,0.1,6,0.9,20,0.9087057681747948,50
70,model_9999,0.9999997390752493,0.012312910467201536,0.9999945317570451,0.023836583909590398,0.9935723951285521,0.8792821720936737,,919,0.1,6,0.9,30,0.9087057681747948,50
71,model_9999,0.9999997390752493,0.012312910467201536,0.9999945317570451,0.023836583909590398,0.9935723951285521,0.8792821720936737,,918,0.1,6,0.9,40,0.9087057681747948,50
72,model_9999,0.9999999829891913,0.006859919962368578,0.9999906882993944,0.020456098437655366,0.9939106901217862,0.8868579296694313,,2089,0.1,9,0.5,20,0.9138818705733204,50
73,model_9999,0.9999999829891913,0.006859919962368578,0.9999906882993944,0.020456098437655366,0.9939106901217862,0.8868579296694313,,2081,0.1,9,0.5,30,0.9138818705733204,50
74,model_9999,0.9999999829891913,0.006859919962368578,0.9999906882993944,0.020456098437655366,0.9939106901217862,0.8868579296694313,,2080,0.1,9,0.5,40,0.9138818705733204,50
75,model_9999,0.9999999909942777,0.005197498408625752,0.9999930414367315,0.019107791623651654,0.9939106901217862,0.8868579296694312,,2700,0.1,9,0.7,20,0.9130401197315695,50
76,model_9999,0.9999999909942777,0.005197498408625752,0.9999930414367315,0.019107791623651654,0.9939106901217862,0.8868579296694312,,2675,0.1,9,0.7,30,0.9130401197315695,50
77,model_9999,0.9999999909942777,0.005197498408625752,0.9999930414367315,0.019107791623651654,0.9939106901217862,0.8868579296694312,,2712,0.1,9,0.7,40,0.9130401197315695,50
78,model_9999,0.9999999316256465,0.00991299365808735,0.9999965711427372,0.021909383584228406,0.9939106901217862,0.8868579296694312,,1721,0.1,9,0.9,20,0.9130401197315695,50
79,model_9999,0.9999999316256465,0.00991299365808735,0.9999965711427372,0.021909383584228406,0.9939106901217862,0.8868579296694312,,1714,0.1,9,0.9,30,0.9130401197315695,50
80,model_9999,0.9999999316256465,0.00991299365808735,0.9999965711427372,0.021909383584228406,0.9939106901217862,0.8868579296694312,,1713,0.1,9,0.9,40,0.9130401197315695,50
