iter	Passed	Remaining
405	6945	164137
406	6961	164081
407	6976	164026
408	6994	164017
409	7010	163966
410	7026	163926
411	7042	163901
412	7059	163872
413	7076	163854
414	7093	163832
415	7109	163796
416	7126	163769
417	7142	163726
418	7159	163711
419	7175	163677
420	7191	163621
421	7207	163585
422	7225	163586
423	7240	163529
424	7257	163500
425	7273	163457
426	7289	163419
427	7306	163395
428	7321	163344
429	7337	163306
430	7354	163292
431	7372	163284
432	7389	163260
433	7406	163260
434	7425	163270
435	7441	163237
436	7458	163213
437	7474	163180
438	7492	163171
439	7509	163157
440	7526	163133
441	7543	163113
442	7561	163137
443	7579	163126
444	7596	163100
445	7613	163089
446	7631	163095
447	7647	163046
448	7662	162985
449	7677	162941
450	7693	162899
451	7710	162868
452	7726	162836
453	7742	162796
454	7759	162784
455	7776	162763
456	7792	162732
457	7810	162716
458	7826	162680
459	7843	162661
460	7860	162645
461	7877	162624
462	7893	162602
463	7911	162596
464	7927	162554
465	7944	162539
466	7961	162516
467	7979	162513
468	7995	162479
469	8011	162452
470	8028	162420
471	8044	162387
472	8060	162344
473	8076	162320
474	8092	162285
475	8110	162273
476	8126	162246
477	8143	162229
478	8160	162201
479	8176	162173
480	8192	162132
481	8210	162123
482	8225	162077
483	8241	162045
484	8256	161989
485	8274	161983
486	8289	161932
487	8307	161922
488	8322	161878
489	8338	161832
490	8354	161795
491	8370	161754
492	8385	161709
493	8400	161658
494	8419	161676
495	8437	161676
496	8453	161642
497	8471	161643
498	8488	161621
499	8505	161604
500	8523	161598
501	8539	161573
502	8557	161564
503	8574	161548
504	8590	161515
505	8609	161532
506	8624	161490
507	8640	161452
508	8658	161441
509	8675	161433
510	8693	161424
511	8708	161379
512	8725	161369
513	8743	161360
514	8759	161330
515	8775	161300
516	8792	161277
517	8809	161255
518	8824	161210
519	8842	161203
520	8859	161181
521	8875	161158
522	8893	161151
523	8910	161131
524	8926	161107
525	8944	161107
526	8961	161088
527	8978	161065
528	8994	161039
529	9012	161027
530	9027	160987
531	9045	160974
532	9061	160948
533	9077	160916
534	9095	160913
535	9112	160891
536	9128	160857
