iter	CrossEntropy
0	0.626947687
1	0.5695554043
2	0.5193284217
3	0.4759314923
4	0.4386019605
5	0.4061798745
6	0.3764226386
7	0.3510560786
8	0.3281539958
9	0.3088331628
10	0.2886024029
11	0.2724227499
12	0.2579881384
13	0.2442254411
14	0.2321410078
15	0.2200550323
16	0.2053420899
17	0.1944066311
18	0.1870142551
19	0.1807415333
20	0.1745183417
21	0.1688877775
22	0.164225903
23	0.1598731102
24	0.1550494661
25	0.1488385911
26	0.1454257864
27	0.1421783224
28	0.1394953018
29	0.1367322435
30	0.1341885607
31	0.1320149442
32	0.1278542458
33	0.1255789006
34	0.1235654303
35	0.1215641549
36	0.119816983
37	0.1181804779
38	0.1165112637
39	0.1148110451
40	0.1135356173
41	0.1120002828
42	0.1107039655
43	0.1080504275
44	0.1058048086
45	0.1044746561
46	0.1033151099
47	0.1022357129
48	0.1011800157
49	0.09996485203
50	0.09909209799
51	0.09781496576
52	0.09694383499
53	0.09593709986
54	0.09504233015
55	0.09353063462
56	0.0915334174
57	0.09070037274
58	0.08957150642
59	0.08875388287
60	0.08800835305
61	0.08713245392
62	0.08627033234
63	0.08546515729
64	0.08488477037
65	0.0836005008
66	0.08298370686
67	0.08224270192
68	0.08157635242
69	0.08086657524
70	0.07991200812
71	0.07931457175
72	0.07807700177
73	0.07745072182
74	0.07679169229
75	0.07596539944
76	0.07531745383
77	0.07460771723
78	0.07399496119
79	0.07332862184
80	0.07278786314
81	0.07213036557
82	0.07143148463
83	0.07085338552
84	0.06941953618
85	0.06885657919
86	0.06847313617
87	0.06804711768
88	0.06757207627
89	0.06709747112
90	0.0660283109
91	0.06563851174
92	0.06498110041
93	0.06454972511
94	0.06393763867
95	0.06345990364
96	0.06311447062
97	0.06258200585
98	0.06217006927
99	0.06154037029
100	0.06107723459
101	0.06074002449
102	0.06032790529
103	0.0599071523
104	0.05950851643
105	0.05877135155
106	0.05833905808
107	0.05775570362
108	0.05730693898
109	0.05650109433
110	0.05594656315
111	0.05570871779
112	0.05549051407
113	0.05484125462
114	0.05450493731
115	0.05434430914
116	0.05384765787
117	0.05308622502
118	0.05291926607
119	0.05276397949
120	0.05258308066
121	0.05201921564
122	0.05179895239
123	0.05151729381
124	0.0511888849
125	0.05093085512
126	0.05041840229
127	0.050248212
128	0.05009716622
129	0.04960353324
130	0.04946134953
131	0.04907408674
132	0.04879730813
133	0.04843196463
134	0.04825520008
135	0.04793693664
136	0.04745984585
137	0.04656586748
138	0.04641006348
139	0.04627545336
140	0.04613353344
141	0.04599315562
142	0.04586059996
143	0.04540705174
144	0.045270585
145	0.04513967798
146	0.04501889614
147	0.04445299189
148	0.04408345831
149	0.04396269169
150	0.04341734724
151	0.04330106492
152	0.04318515798
153	0.04294202683
154	0.04258870064
155	0.04210880209
156	0.04200325367
157	0.04189752518
158	0.04148095719
159	0.04097028489
160	0.04035147708
161	0.04013648185
162	0.04003325675
163	0.03965897002
164	0.0393548722
165	0.03904960003
166	0.0389353113
167	0.03884197042
168	0.03849975606
169	0.0384074272
170	0.03831496391
171	0.03809637973
172	0.03796993164
173	0.03752405593
174	0.03720572147
175	0.0369638585
176	0.03656999608
177	0.03628679793
178	0.03620482506
179	0.03612559146
180	0.03587480809
181	0.03560844634
182	0.03549753351
183	0.03523594521
184	0.03515713266
185	0.03508227429
186	0.03478704615
187	0.03443200791
188	0.03411701892
189	0.0339561574
190	0.03364644659
191	0.03357285388
192	0.03350299216
193	0.03329449004
194	0.03297345689
195	0.03285953846
196	0.03259659828
197	0.03253144914
198	0.0322508812
199	0.03194514995
200	0.03188104832
201	0.03161843787
202	0.03133166597
203	0.03104364618
204	0.03094107547
205	0.03087855907
206	0.03063763203
207	0.03051967063
208	0.03028649472
209	0.03022690022
210	0.03002330597
211	0.02976205755
212	0.02965286945
213	0.02959517722
214	0.02935165547
215	0.02901218546
216	0.02879137942
217	0.02873581521
218	0.02858314869
219	0.02851375113
220	0.02846177588
221	0.0282525509
222	0.0280472446
223	0.02799821407
224	0.02768670244
225	0.0275988173
226	0.02755010382
227	0.02735548831
228	0.02709945719
229	0.02680173833
230	0.02675398867
231	0.02667419961
232	0.02651341672
233	0.02635141129
234	0.026112176
235	0.02606588729
236	0.02595563899
237	0.02577088742
238	0.02572569441
239	0.02566276205
240	0.02539769893
241	0.02507927063
242	0.02503630963
243	0.02479600145
244	0.02469743059
245	0.02450544783
246	0.02446472645
247	0.02427467387
248	0.02404137368
249	0.02394904989
250	0.02374809346
251	0.02370958633
252	0.02367215461
253	0.02341756668
254	0.02337998279
255	0.02316986754
256	0.02313317644
257	0.02309846878
258	0.02293403605
259	0.02287041126
260	0.0226943848
261	0.02265914197
262	0.02251021913
263	0.02238111039
264	0.02234784339
265	0.02216053009
266	0.02209906375
267	0.0220652489
268	0.02195477993
269	0.02192207854
270	0.02170275881
271	0.0216398645
272	0.02149266385
273	0.0212543239
274	0.02111059427
275	0.02107756315
276	0.02094023786
277	0.02091051036
278	0.02071936587
279	0.0205654857
280	0.02053602198
281	0.02049670067
282	0.02029272343
283	0.02013719082
284	0.02003347113
285	0.02000558884
286	0.01984735499
287	0.01981901615
288	0.01977801323
289	0.01975068894
290	0.01969509302
291	0.01957619697
292	0.01944575665
293	0.01924263163
294	0.0192153327
295	0.01909338667
296	0.01906814601
297	0.01890317176
298	0.01887815049
299	0.01873367518
300	0.01870938945
301	0.01858804074
302	0.01848978692
303	0.01845666956
304	0.01834042909
305	0.01819384098
306	0.01817001307
307	0.01802255499
308	0.01799926352
309	0.01794267715
310	0.0179191143
311	0.0177793376
312	0.01775717735
313	0.01773474825
