,Column,Feature,Importance Score
2910,Column_2910,ehrungs,0
2911,Column_2911,ehrungss,0
2914,Column_2914,eibe ,0
2915,Column_2915,eibe h,0
2940,Column_2940,eile t,0
2941,Column_2941,eile te,0
2942,Column_2942,eile tex,0
2980,Column_2980,ekante,0
2968,Column_2968,eiste ,0
2970,Column_2970,eiste ei,0
2973,Column_2973,eiten,0
2977,Column_2977,eka,0
2978,Column_2978,ekan,0
2979,Column_2979,ekant,0
2981,Column_2981,ekante ,0
2964,Column_2964,einstieg,0
2982,Column_2982,ekante b,0
2983,Column_2983,ekante e,0
2984,Column_2984,ekante g,0
2985,Column_2985,ekante m,0
2986,Column_2986,ekante n,0
2987,Column_2987,ekante p,0
2967,Column_2967,eiste,0
2963,Column_2963,einstie,0
2944,Column_2944,einb,0
2954,Column_2954,einleger,0
2945,Column_2945,einbo,0
2946,Column_2946,einbor,0
2947,Column_2947,einbord,0
2948,Column_2948,einbordi,0
2951,Column_2951,einleg,0
2952,Column_2952,einlege,0
2955,Column_2955,eins,0
2962,Column_2962,einsti,0
2956,Column_2956,einst,0
2957,Column_2957,einst ,0
2958,Column_2958,einst h,0
2959,Column_2959,einst hi,0
2960,Column_2960,einst i,0
2961,Column_2961,einst in,0
3065,Column_3065,ele un,0
3067,Column_3067,ele unte,0
3857,Column_3857,fuer ble,0
3179,Column_3179,en mat,0
3163,Column_3163,en i,0
3164,Column_3164,en ic,0
3165,Column_3165,en ice,0
3166,Column_3166,en l,0
3167,Column_3167,en lc,0
3168,Column_3168,en lci,0
3169,Column_3169,en li,0
3170,Column_3170,en lin,0
3171,Column_3171,en line,0
3172,Column_3172,en line ,0
3173,Column_3173,en lu,0
3174,Column_3174,en lux,0
3175,Column_3175,en luxl,0
3176,Column_3176,en luxl ,0
3177,Column_3177,en m,0
3162,Column_3162,en hybri,0
3161,Column_3161,en hybr,0
3160,Column_3160,en hyb,0
3151,Column_3151,en hig,0
3144,Column_3144,en gra,0
3145,Column_3145,en grad,0
3147,Column_3147,en hi,0
3148,Column_3148,en hi ,0
3149,Column_3149,en hi s,0
3150,Column_3150,en hi sa,0
3152,Column_3152,en high,0
3159,Column_3159,en hy,0
3153,Column_3153,en high ,0
3154,Column_3154,en hin,0
3155,Column_3155,en hint,0
3156,Column_3156,en hinte,0
3157,Column_3157,en hk,0
3158,Column_3158,en hkl,0
3178,Column_3178,en ma,0
3180,Column_3180,en mate,0
3068,Column_3068,ele us,0
3181,Column_3181,en mater,0
3200,Column_3200,en o,0
3201,Column_3201,en ob,0
3202,Column_3202,en obe,0
3203,Column_3203,en oben,0
3205,Column_3205,en pa,0
3206,Column_3206,en pa ,0
3207,Column_3207,en pa b,0
3208,Column_3208,en pa be,0
3209,Column_3209,en ph,0
3210,Column_3210,en phe,0
3211,Column_3211,en phev,0
3212,Column_3212,en s,0
3213,Column_3213,en sa,0
3214,Column_3214,en sc,0
3215,Column_3215,en sch,0
3199,Column_3199,en notra,0
3198,Column_3198,en notr,0
3197,Column_3197,en not,0
3188,Column_3188,en mpa ,0
3182,Column_3182,en mi,0
3183,Column_3183,en mit,0
3184,Column_3184,en mitt,0
3185,Column_3185,en mitte,0
3186,Column_3186,en mp,0
3187,Column_3187,en mpa,0
3189,Column_3189,en mpa l,0
3196,Column_3196,en no,0
3190,Column_3190,en ms,0
3191,Column_3191,en msp,0
3192,Column_3192,en msp ,0
3193,Column_3193,en msp d,0
3194,Column_3194,en msp l,0
3195,Column_3195,en n,0
3143,Column_3143,en gr,0
3142,Column_3142,en gpr s,0
3141,Column_3141,en gpr h,0
3140,Column_3140,en gpr b,0
3087,Column_3087,elkopfs,0
3088,Column_3088,elkopfst,0
3089,Column_3089,ell,0
3090,Column_3090,ell ,0
3091,Column_3091,ell h,0
3092,Column_3092,ell he,0
3093,Column_3093,ell hec,0
3094,Column_3094,ell heck,0
3095,Column_3095,ellb,0
3096,Column_3096,ellba,0
3097,Column_3097,ellbar,0
3098,Column_3098,ellbar ,0
3099,Column_3099,ellbar m,0
3100,Column_3100,els,0
3101,Column_3101,elst,0
3086,Column_3086,elkopf,0
3085,Column_3085,elkop,0
3084,Column_3084,elko,0
3075,Column_3075,elektr l,0
3069,Column_3069,ele us ,0
3070,Column_3070,ele us l,0
3071,Column_3071,elek,0
3072,Column_3072,elekt,0
3073,Column_3073,elektr,0
3074,Column_3074,elektr ,0
3076,Column_3076,elektri,0
3083,Column_3083,elk,0
3077,Column_3077,elektrif,0
3078,Column_3078,eleu,0
3079,Column_3079,eleuc,0
3080,Column_3080,eleuch,0
3081,Column_3081,eleucht,0
3082,Column_3082,eleucht ,0
3102,Column_3102,elsta,0
3103,Column_3103,elstah,0
3104,Column_3104,elstahl,0
3132,Column_3132,en g,0
3126,Column_3126,en ec,0
3127,Column_3127,en ece,0
3128,Column_3128,en ei,0
3129,Column_3129,en ein,0
3130,Column_3130,en einb,0
3131,Column_3131,en einbo,0
3133,Column_3133,en ge,0
3124,Column_3124,en dark ,0
3134,Column_3134,en gep,0
3135,Column_3135,en gepa,0
3136,Column_3136,en gepae,0
3137,Column_3137,en gp,0
3138,Column_3138,en gpr,0
3139,Column_3139,en gpr ,0
3125,Column_3125,en e,0
3123,Column_3123,en dark,0
3105,Column_3105,elstahle,0
3114,Column_3114,en ba,0
3106,Column_3106,ems,0
3107,Column_3107,emsl,0
3108,Column_3108,emsle,0
3109,Column_3109,emsleu,0
3110,Column_3110,emsleuc,0
3111,Column_3111,emsleuch,0
3115,Column_3115,en bas,0
3122,Column_3122,en dar,0
3116,Column_3116,en basi,0
3117,Column_3117,en basis,0
3118,Column_3118,en be,0
3119,Column_3119,en bev,0
3120,Column_3120,en d,0
3121,Column_3121,en da,0
2895,Column_2895,egriff h,0
2894,Column_2894,egriff ,0
2893,Column_2893,egriff,0
2696,Column_2696,e us lab,0
2676,Column_2676,e tv,0
2678,Column_2678,e um,0
2679,Column_2679,e uml,0
2680,Column_2680,e umla,0
2681,Column_2681,e umlau,0
2682,Column_2682,e umlauf,0
2684,Column_2684,e un ,0
2685,Column_2685,e un l,0
2686,Column_2686,e un lu,0
2687,Column_2687,e un luf,0
2688,Column_2688,e unt,0
2689,Column_2689,e unte,0
2691,Column_2691,e unten ,0
2693,Column_2693,e us ,0
2694,Column_2694,e us l,0
2675,Column_2675,e textil,0
2674,Column_2674,e texti,0
2673,Column_2673,e text,0
2663,Column_2663,e stof,0
2657,Column_2657,e st bom,0
